uid,panas_pos_pre,panas_neg_pre,panas_pos_post,panas_neg_post,panas_pos_delta,panas_neg_delta,panas_delta
u01,30,-19,27,-17,-3,2,-1
u02,23,-15,28,-13,5,2,7
u03,30,-27,25,-20,-5,7,2
u04,27,-14,34,-19,7,-5,2
u05,32,-27,33,-17,1,10,11
u07,30,-21,16,-17,-14,4,-10
u09,28,-11,32,-12,4,-1,3
u10,33,-20,43,-28,10,-8,2
u14,40,-43,36,-12,-4,31,27
u15,30,-25,33,-25,3,0,3
u16,18,-20,17,-33,-1,-13,-14
u17,31,-17,27,-37,-4,-20,-24
u18,16,-28,17,-35,1,-7,-6
u19,31,-22,34,-15,3,7,10
u20,29,-13,25,-26,-4,-13,-17
u24,26,-15,22,-18,-4,-3,-7
u27,23,-18,19,-23,-4,-5,-9
u30,34,-33,34,-21,0,12,12
u31,31,-17,20,-37,-11,-20,-31
u32,29,-14,41,-15,12,-1,11
u33,19,-34,26,-28,7,6,13
u34,28,-10,24,-14,-4,-4,-8
u35,27,-12,20,-15,-7,-3,-10
u36,32,-11,32,-19,0,-8,-8
u42,24,-29,36,-21,12,8,20
u43,31,-18,32,-21,1,-3,-2
u44,32,-11,28,-22,-4,-11,-15
u45,27,-23,27,-18,0,5,5
u46,34,-19,31,-34,-3,-15,-18
u47,34,-31,35,-11,1,20,21
u51,24,-14,26,-12,2,2,4
u52,40,-35,26,-39,-14,-4,-18
u53,28,-17,33,-17,5,0,5
u56,22,-9,29,-15,7,-6,1
u59,34,-21,37,-29,3,-8,-5
